kota_kabupaten;kecamatan;jumlah_penduduk;kepadatan_penduduk;jumlah_anak(0-17th);jumlah_usia_produktif(15-64th);jumlah_penduduk_pria;jumlah_penduduk_perempuan;jenis_fasilitas_olahraga;jumlah
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;bola voli;0
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;bulu tangkis;5
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;basket;2
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;atletik;1
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;tenis meja;0
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;golf;0
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;senam;0
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;gedung olahraga;1
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;stadion;1
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;gelanggang kecamatan;1
Jakarta Timur;Pulogadung;310.267;20.438;85.092;220.304;154.395;155.163;gelanggang kotamadya;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;tenis;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;sepak bola;1
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;kolam renang;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;bola voli;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;bulu tangkis;3
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;basket;1
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;atletik;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;tenis meja;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;golf;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;senam;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;gedung olahraga;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;stadion;0
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;gelanggang kecamatan;1
Jakarta Timur;Cakung;591.593;14.334;182.238;415.736;291.027;281.969;gelanggang kotamadya;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;tenis;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;sepak bola;0
